h12_kj_mol,rc,mean_evb_energy_kj_mol,counts
80.0,-0.14526168866933312,-37616.20102201363,5
80.0,-0.14381045861406322,-37610.95843646236,4
80.0,-0.14235922855879335,-37412.62961915775,6
80.0,-0.14090799850352348,-37381.14446147988,1
80.0,-0.13945676844825358,-36191.714872089775,1
80.0,-0.1380055383929837,nan,0
80.0,-0.13655430833771381,-37659.19635311704,1
80.0,-0.13510307828244394,-37460.90616396406,1
80.0,-0.13365184822717407,nan,0
80.0,-0.13220061817190418,nan,0
80.0,-0.1307493881166343,nan,0
80.0,-0.1292981580613644,nan,0
80.0,-0.12784692800609454,-37119.0638145943,1
80.0,-0.12639569795082467,nan,0
80.0,-0.12494446789555477,-36914.38734054123,2
